strategy_id,position_size,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,id,created_at,updated_at,symbol,active_order,fund,strategy_name,expiry_date
BTC_FEAR_GREED_INDEX_MOMENTUM_BTC,0.61,slowLength,60,fastLength,50,atr_period,15,stop_range,3,1,2024-01-09 02:27:39.528212-05,2024-01-19 14:19:59.043358-05,BTC,f,100,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-02-02 00:00:00-05
BTC_FEAR_GREED_INDEX_MOMENTUM_AVAX,0.66,slowLength,60,fastLength,35,atr_period,20,stop_range,2,4,2024-01-11 14:49:42.562151-05,2024-01-19 01:30:45.356248-05,AVAX,f,100,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-07-13 01:00:00-04
BTC_FEAR_GREED_INDEX_MOMENTUM_MATIC,0.55,slowLength,75,fastLength,25,atr_period,25,stop_range,2,27,2024-01-19 02:04:13.972661-05,2024-01-19 02:04:13.972661-05,MATIC,f,100,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-04-28 01:00:00-04
SMA_CROSSOVER_AVAX,0.7,slowLength,35,fastLength,30,atr_period,20,stop_range,2,8,2024-01-11 15:10:00.260566-05,2024-01-11 15:10:00.260566-05,AVAX,f,100,SMA_CROSSOVER,2024-07-13 01:00:00-04
SMA_CROSSOVER_CAKE,0.69,slowLength,45,fastLength,5,atr_period,45,stop_range,2,9,2024-01-11 15:11:53.274887-05,2024-01-11 15:11:53.274887-05,CAKE,f,100,SMA_CROSSOVER,2024-09-29 01:00:00-04
BTC_FEAR_GREED_INDEX_MOMENTUM_FXS,1,slowLength,90,fastLength,5,atr_period,20,stop_range,2,2,2024-01-11 14:03:08.914123-05,2024-01-12 02:16:46.904019-05,FXS,f,100,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-12-27 00:00:00-05
BOLL_BAND_REVERSION_BNB,0.82,period,25,kstd,1.75,atr_period,10,stop_range,4,33,2024-01-27 02:13:21.488163-05,2024-01-27 02:13:21.488163-05,BNB,f,100,BOLL_BAND_REVERSION,2024-11-09 00:00:00-05
BOLL_BAND_MOMENTUM_SOL,0.69,period,85,kstd,2.25,atr_period,20,stop_range,2,32,2024-01-22 22:32:46.238925-05,2024-01-22 22:32:46.238925-05,SOL,f,100,BOLL_BAND_MOMENTUM,2024-04-10 01:00:00-04
BOLL_BAND_MOMENTUM_BTC,0.76,period,30,kstd,1.5,atr_period,10,stop_range,2,31,2024-01-22 22:32:46.238925-05,2024-01-22 22:32:46.238925-05,BTC,f,100,BOLL_BAND_MOMENTUM,2024-09-17 01:00:00-04
BOLL_BAND_MOMENTUM_CAKE,0.49,period,25,kstd,1.25,atr_period,5,stop_range,2,36,2024-01-27 07:24:04.761029-05,2024-01-27 07:24:04.761029-05,CAKE,f,100,BOLL_BAND_MOMENTUM,2024-09-29 01:00:00-04
BOLL_BAND_MOMENTUM_EGLD,0.7,period,15,kstd,1.75,atr_period,5,stop_range,2,38,2024-01-27 07:37:00.478716-05,2024-01-27 07:37:00.478716-05,EGLD,f,100,BOLL_BAND_MOMENTUM,2024-09-04 01:00:00-04
BOLL_BAND_REVERSION_WEMIX,0.62,period,15,kstd,2.75,atr_period,5,stop_range,2,34,2024-01-27 02:23:51.565406-05,2024-01-27 02:23:51.565406-05,WEMIX,f,100,BOLL_BAND_REVERSION,2024-10-29 01:00:00-04
BOLL_BAND_REVERSION_FXS,0.8,period,15,kstd,2.25,atr_period,5,stop_range,2,35,2024-01-27 02:37:10.076313-05,2024-01-27 02:37:10.076313-05,FXS,f,100,BOLL_BAND_REVERSION,2024-12-27 00:00:00-05
BOLL_BAND_MOMENTUM_WEMIX,0.86,period,35,kstd,3,atr_period,5,stop_range,2,37,2024-01-27 07:28:20.260492-05,2024-01-27 07:28:20.260492-05,WEMIX,f,100,BOLL_BAND_MOMENTUM,2024-10-29 01:00:00-04
BTC_FEAR_GREED_INDEX_MOMENTUM_OKB,0.84,slowLength,65,fastLength,60,atr_period,15,stop_range,2,39,2024-01-27 07:58:20.232904-05,2024-01-27 07:58:20.232904-05,OKB,f,100,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-04-30 01:00:00-04
SMA_CROSSOVER_BTC,0.67,slowLength,35,fastLength,10,atr_period,35,stop_range,3,40,2024-01-27 08:16:27.240916-05,2024-01-27 08:16:27.240916-05,BTC,f,100,SMA_CROSSOVER,2024-09-17 01:00:00-04
SMA_CROSSOVER_WBTC,0.67,slowLength,35,fastLength,30,atr_period,5,stop_range,3,41,2024-01-27 08:25:13.071859-05,2024-01-27 08:25:13.071859-05,WBTC,f,100,SMA_CROSSOVER,2024-01-30 00:00:00-05
